advisor_id,user_id,student_id,phone,address,concentration_code,gpa,birthdate,enrollment_status,academic_standing,start_date,expected_graduation_date,total_credits_earned,interests,advisor_email2,student_email
35,12,1001126222,338-773-9267,"5081 Ellison Union Suite 123, North Joshua, DC 09628",S9501,3.61,2005-07-23,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,89,"[""successful"", ""star"", ""eight""]",michaelturner@cybel.com,reneeyoung@cybel.com
34,13,1001197975,338-773-9258,"428 Felicia Lock, South Robertside, NM 13959",S9501,2.86,2002-12-30,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,114,"[""possible"", ""contain"", ""staff""]",jaimewilcox@cybel.com,joshuadavis@cybel.com
33,14,1001108346,338-773-9261,"USCGC Leach, FPO AE 74046",S9501,2.48,2003-01-04,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,16,"[""military"", ""economic"", ""community"", ""machine"", ""fly"", ""student"", ""mouth"", ""miss"", ""room"", ""smile""]",johnrichardson@cybel.com,kevinlewis@cybel.com
36,15,1001188222,338-773-9244,"87695 Reynolds Inlet Apt. 001, North Hannah, MS 49835",S9501,3,2004-05-23,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,37,"[""subject"", ""knowledge"", ""authority"", ""low"", ""street""]",bethdean@cybel.com,beverlyfranklin@cybel.com
35,16,1001127291,338-773-9247,"78392 Landry Ranch, Ballardshire, FL 94799",S9501,2.13,2005-02-07,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,34,"[""serve"", ""identify"", ""tend"", ""bag"", ""let"", ""dinner"", ""manager"", ""despite"", ""billion"", ""night""]",michellegolden@cybel.com,christopherhicks@cybel.com
34,17,1001199195,338-773-9270,"7426 Martinez Ville Suite 961, East Tamaraborough, HI 77204",S9501,2.83,2006-01-16,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,42,"[""policy"", ""here"", ""remember"", ""major"", ""thought""]",shirleymcmillan@cybel.com,zacharylloyd@cybel.com
36,18,1001167393,338-773-9252,"1954 Rivera Radial, Taylormouth, MT 80405",S9501,3.4,2003-11-26,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,68,"[""different"", ""maintain"", ""yard"", ""painting"", ""campaign"", ""fear"", ""most"", ""country""]",albertmartinez@cybel.com,ericwiggins@cybel.com
33,19,1001162437,338-773-9241,"010 Acevedo Mount, Carolineburgh, IL 81676",S9501,2.6,2005-07-13,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,111,"[""thank"", ""firm"", ""so"", ""born"", ""finally""]",shirleymcmillan@cybel.com,aaronsmith@cybel.com
36,20,1001161996,338-773-9248,"828 Ferguson Station, Lake Moniquestad, ID 48349",S9501,3.21,2001-03-05,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,62,"[""become"", ""method"", ""professor""]",travisbrown@cybel.com,davidbarry@cybel.com
34,21,1001119600,338-773-9246,"284 Thomas Track, Farrellland, FL 44079",S9501,3.13,2004-11-28,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,77,"[""American"", ""window"", ""around"", ""very"", ""ever"", ""baby"", ""film"", ""prove""]",ericahicks@cybel.com,brianagates@cybel.com
33,22,1001165673,338-773-9245,"USNS Harrison, FPO AP 32767",S9501,2.21,2001-12-13,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,26,"[""join"", ""TV"", ""decision"", ""treat"", ""commercial"", ""exactly"", ""teach""]",jasonmiller@cybel.com,brendanhogan@cybel.com
34,23,1001104357,338-773-9262,"587 Farley Stravenue, West Kaylafurt, SC 85323",S9501,2.05,2003-03-09,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,85,"[""race"", ""activity"", ""speak""]",travisbrown@cybel.com,kylesullivan@cybel.com
36,24,1001148259,338-773-9264,"900 Benjamin Cliffs Suite 866, New Jeanmouth, RI 94057",S9501,2.5,2001-03-06,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,2,"[""occur"", ""special"", ""dinner"", ""reality"", ""whether"", ""arrive""]",michellegolden@cybel.com,melvindavis@cybel.com
34,25,1001129588,338-773-9242,"Unit 7412 Box 6986, DPO AE 76721",S9501,3.62,2004-12-08,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,6,"[""agree"", ""laugh"", ""seat"", ""this"", ""child"", ""agree"", ""get""]",sararoth@cybel.com,alexwalton@cybel.com
33,26,1001109016,338-773-9269,"2772 Clark Causeway Suite 327, Ashleyfort, WV 72639",S9501,2.44,2004-09-17,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,16,"[""executive"", ""could"", ""certainly""]",kimberlywolf@cybel.com,tammychan@cybel.com
35,27,1001133862,338-773-9255,"60357 Copeland Unions Suite 220, Port Andreaville, LA 91830",S9501,2.44,2004-01-24,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,43,"[""we"", ""large"", ""beautiful"", ""and"", ""small"", ""happen""]",johnrichardson@cybel.com,jameshenson@cybel.com
34,28,1001149838,338-773-9254,"621 Michael Groves Apt. 079, Millerview, PW 63031",S9501,2.53,2005-08-23,enrolled,,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,55,"[""gun"", ""during"", ""allow"", ""security"", ""billion"", ""scene""]",kimberlywolf@cybel.com,jakecampos@cybel.com
36,29,1001159677,338-773-9256,"88408 Daniel Overpass Apt. 165, Thorntonchester, OR 87339",S9501,3.84,2003-07-13,enrolled,Probation,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,72,"[""happen"", ""data"", ""put"", ""Congress"", ""development"", ""group"", ""energy""]",bethdean@cybel.com,jamesnewton@cybel.com
34,30,1001134038,338-773-9250,"66644 Matthew Shoals Suite 117, Lake Catherinemouth, KY 34524",S9501,3.62,2001-12-12,enrolled,Good Standing,2024-02-20T14:08:26.096,2028-02-19T14:08:26.097,85,"[""act"", ""population"", ""property""]",travisbrown@cybel.com,davidshelton@cybel.com
